,guests,beds,bathrooms,price_night,cleanliness_rate,accuracy_rate,communication_rate,location_rate,check-in_rate,value_rate,amenities_count,bedrooms
0,2.0,1.0,1.0,105.0,4.6,4.7,4.3,5.0,4.3,4.3,13.0,1.0
1,3.0,3.0,0.0,92.0,4.3,4.7,4.6,4.9,4.7,4.5,8.0,1.0
2,4.0,2.0,1.5,52.0,4.2,4.6,4.8,4.8,4.8,4.7,51.0,1.0
3,2.0,1.0,1.0,132.0,4.8,4.9,4.9,4.9,5.0,4.6,23.0,1.0
4,4.0,3.0,1.0,143.0,5.0,4.9,5.0,4.7,5.0,4.7,32.0,2.0
5,3.0,2.0,1.0,101.0,4.7,4.7,4.8,4.8,4.7,4.3,6.0,1.0
6,6.0,5.0,1.0,94.0,4.2,4.4,4.6,4.3,4.8,4.3,31.0,2.0
7,4.0,3.0,1.0,247.0,4.9,4.8,4.8,4.6,4.9,4.4,24.0,1.0
8,3.0,2.0,1.0,104.0,4.5,4.7,4.8,4.8,4.8,4.4,10.0,1.0
9,5.0,4.0,1.0,106.0,4.3,4.5,4.4,4.8,4.5,4.1,10.0,1.0
10,2.0,1.0,1.0,126.0,5.0,5.0,4.8,5.0,5.0,4.8,8.0,1.0
11,5.0,4.0,1.0,214.0,4.9,4.4,4.3,4.9,4.6,4.3,5.0,1.0
12,5.0,3.0,1.0,110.0,5.0,4.7,5.0,5.0,4.9,4.7,10.0,1.0
13,2.0,1.0,1.0,85.0,4.8,4.9,5.0,5.0,4.9,4.5,8.0,1.0
14,4.0,1.0,1.0,91.0,4.3,4.7,5.0,5.0,5.0,4.7,38.0,1.0
15,4.0,2.0,1.0,174.0,4.9,4.9,4.9,4.9,4.9,4.8,33.0,1.0
16,2.0,2.0,1.5,139.0,5.0,5.0,5.0,5.0,5.0,4.9,35.0,1.0
17,5.0,2.0,1.0,96.0,5.0,5.0,5.0,5.0,5.0,4.9,12.0,1.0
18,8.0,3.0,1.0,141.0,4.9,4.9,4.9,4.9,5.0,4.7,15.0,2.0
19,2.0,1.0,1.0,309.0,5.0,5.0,5.0,5.0,5.0,4.6,36.0,1.0
20,2.0,1.0,1.0,248.0,4.9,4.0,4.9,5.0,4.9,4.4,8.0,1.0
21,2.0,2.0,1.0,130.0,4.9,5.0,4.9,4.7,5.0,4.7,13.0,1.0
22,4.0,1.0,1.0,499.0,5.0,5.0,5.0,5.0,5.0,5.0,39.0,1.0
23,4.0,2.0,1.0,670.0,4.9,5.0,5.0,5.0,4.9,4.8,15.0,1.0
24,5.0,4.0,1.0,153.0,4.9,5.0,4.9,4.9,5.0,4.8,28.0,1.0
25,3.0,2.0,1.5,168.0,4.8,4.9,5.0,4.7,4.7,4.9,50.0,1.0
26,4.0,4.0,1.0,149.0,5.0,4.9,5.0,4.9,5.0,4.9,35.0,1.0
27,2.0,1.0,1.0,280.0,5.0,5.0,5.0,5.0,5.0,4.8,36.0,1.0
28,4.0,2.0,1.0,171.0,5.0,5.0,5.0,4.8,5.0,4.8,43.0,1.0
29,4.0,2.0,1.0,238.0,4.8,4.8,4.9,4.8,5.0,4.6,28.0,1.0
30,2.0,1.0,1.0,99.0,5.0,5.0,5.0,5.0,5.0,5.0,16.0,1.0
31,2.0,2.0,1.0,142.0,4.9,4.9,5.0,5.0,5.0,5.0,57.0,1.0
32,2.0,1.0,1.0,413.0,5.0,4.9,5.0,4.9,5.0,4.8,30.0,1.0
33,7.0,3.0,1.0,206.0,4.8,4.9,4.9,4.9,5.0,4.7,25.0,1.0
34,4.0,1.0,1.0,123.0,4.9,4.9,4.9,4.9,5.0,4.7,42.0,1.0
35,2.0,1.0,1.0,125.0,5.0,5.0,5.0,4.8,5.0,4.9,17.0,1.0
36,2.0,1.0,1.0,130.0,5.0,5.0,5.0,5.0,5.0,4.9,42.0,1.0
37,6.0,3.0,1.0,222.0,4.9,5.0,5.0,5.0,5.0,4.8,28.0,2.0
38,2.0,1.0,1.0,188.0,5.0,4.9,4.9,5.0,5.0,4.5,22.0,1.0
39,2.0,1.0,1.0,54.0,4.9,4.9,5.0,4.9,4.9,4.8,20.0,1.0
40,8.0,4.0,1.0,212.0,5.0,5.0,5.0,5.0,5.0,4.9,38.0,2.0
41,2.0,1.0,1.0,151.0,5.0,4.9,4.9,5.0,5.0,4.9,52.0,1.0
42,4.0,2.0,1.0,149.0,5.0,5.0,5.0,5.0,5.0,4.8,34.0,1.0
43,6.0,2.0,1.0,249.0,4.6,4.8,4.9,4.8,5.0,4.6,33.0,1.0
44,4.0,1.0,1.0,101.0,4.9,5.0,5.0,5.0,5.0,4.9,38.0,1.0
45,6.0,3.0,1.5,311.0,4.9,5.0,5.0,4.9,5.0,4.8,50.0,2.0
46,4.0,3.0,1.5,53.0,4.9,4.9,4.9,4.9,4.9,4.6,38.0,1.0
47,4.0,2.0,2.5,179.0,5.0,5.0,5.0,4.9,5.0,4.8,30.0,1.0
48,2.0,1.0,1.0,188.0,5.0,5.0,5.0,5.0,5.0,4.8,41.0,1.0
49,2.0,1.0,1.0,66.0,5.0,4.8,4.9,4.9,4.9,4.8,29.0,1.0
50,6.0,6.0,1.0,134.0,5.0,4.9,4.9,4.8,5.0,4.8,40.0,2.0
51,2.0,1.0,1.5,148.0,4.7,4.7,4.8,4.8,4.8,4.8,22.0,1.0
52,2.0,1.0,1.0,224.0,4.9,4.9,5.0,4.9,5.0,4.8,34.0,1.0
53,2.0,1.0,1.0,135.0,5.0,4.9,5.0,4.9,5.0,4.7,21.0,1.0
54,2.0,2.0,1.0,138.0,5.0,4.9,5.0,4.8,5.0,4.8,23.0,1.0
55,2.0,2.0,1.0,161.0,4.7,4.8,5.0,4.9,4.9,4.7,84.0,1.0
56,2.0,1.0,1.0,107.0,4.9,4.9,4.9,5.0,4.9,4.7,15.0,1.0
57,2.0,1.0,1.0,184.0,5.0,5.0,5.0,5.0,5.0,4.9,13.0,1.0
58,2.0,1.0,1.0,140.0,4.5,5.0,5.0,4.5,5.0,5.0,10.0,1.0
59,6.0,4.0,1.0,105.0,4.6,4.8,4.9,4.9,4.9,4.6,36.0,2.0
60,2.0,1.0,1.0,112.0,5.0,5.0,5.0,4.9,5.0,4.9,38.0,1.0
61,2.0,1.0,1.0,94.0,5.0,5.0,5.0,5.0,5.0,5.0,24.0,1.0
62,4.0,3.0,1.0,61.0,4.8,4.9,4.9,4.7,4.9,4.8,28.0,2.0
63,2.0,1.0,1.0,295.0,5.0,5.0,5.0,5.0,5.0,4.9,43.0,1.0
64,2.0,1.0,1.0,58.0,5.0,5.0,5.0,4.9,4.8,4.9,30.0,2.0
65,4.0,2.0,1.0,60.0,4.9,5.0,5.0,4.9,5.0,4.9,45.0,1.0
66,2.0,1.0,1.0,91.0,5.0,5.0,5.0,5.0,4.9,4.9,21.0,1.0
67,2.0,1.0,1.0,153.0,5.0,4.9,5.0,4.9,5.0,4.9,35.0,1.0
68,2.0,1.0,1.5,112.0,4.9,4.9,4.8,4.9,4.9,4.7,69.0,1.0
69,3.0,1.0,1.0,170.0,4.8,4.9,5.0,4.9,5.0,4.7,29.0,1.0
70,2.0,1.0,1.0,201.0,5.0,5.0,5.0,5.0,5.0,5.0,24.0,1.0
71,6.0,3.0,1.5,49.0,4.9,4.9,5.0,4.8,4.9,4.8,27.0,1.0
72,4.0,2.0,1.0,103.0,4.9,5.0,5.0,4.9,5.0,4.9,22.0,1.0
73,7.0,5.0,1.0,270.0,5.0,5.0,5.0,5.0,5.0,4.8,43.0,1.0
74,2.0,1.0,1.0,197.0,4.8,4.9,5.0,5.0,5.0,4.7,41.0,1.0
75,2.0,1.0,1.0,44.0,4.7,4.9,4.9,5.0,4.9,4.5,30.0,1.0
76,3.0,1.0,1.0,138.0,5.0,4.9,5.0,4.9,5.0,4.8,27.0,1.0
77,2.0,1.0,1.0,54.0,4.9,4.9,4.9,4.8,4.8,4.8,27.0,1.0
78,4.0,2.0,1.0,422.0,5.0,5.0,5.0,5.0,5.0,5.0,29.0,1.0
79,4.0,2.0,1.0,218.0,5.0,5.0,5.0,5.0,5.0,4.8,30.0,2.0
80,4.0,3.0,1.0,157.0,5.0,5.0,5.0,5.0,5.0,4.9,48.0,1.0
81,2.0,1.0,1.0,105.0,4.6,4.9,5.0,4.9,4.9,4.7,27.0,1.0
82,4.0,2.0,1.0,137.0,4.8,4.8,4.9,4.9,5.0,4.6,39.0,2.0
83,4.0,2.0,1.0,139.0,4.6,4.8,4.9,4.9,5.0,4.7,28.0,1.0
84,2.0,1.0,1.0,100.0,5.0,5.0,5.0,5.0,5.0,5.0,43.0,1.0
85,4.0,2.0,1.0,98.0,4.9,5.0,5.0,4.9,5.0,4.7,31.0,2.0
86,4.0,1.0,1.0,98.0,4.9,5.0,5.0,4.9,5.0,4.8,48.0,1.0
87,3.0,2.0,1.0,223.0,5.0,4.9,5.0,4.9,5.0,4.7,34.0,1.0
88,4.0,2.0,1.0,230.0,5.0,5.0,5.0,5.0,5.0,5.0,32.0,1.0
89,4.0,2.0,1.0,140.0,4.8,4.9,5.0,4.9,5.0,4.8,24.0,1.0
90,4.0,2.0,1.0,297.0,5.0,5.0,5.0,5.0,5.0,4.7,36.0,2.0
91,2.0,1.0,1.0,212.0,5.0,4.9,4.9,4.9,5.0,4.8,34.0,1.0
92,4.0,2.0,1.0,500.0,4.8,4.9,5.0,5.0,5.0,4.6,19.0,2.0
93,4.0,2.0,1.0,137.0,4.9,4.9,5.0,4.9,5.0,4.8,38.0,1.0
94,5.0,2.0,1.0,127.0,4.3,4.8,4.8,4.8,4.8,4.3,41.0,1.0
95,2.0,1.0,1.0,73.0,4.9,4.9,5.0,4.7,5.0,4.7,26.0,1.0
96,2.0,1.0,1.0,101.0,4.8,4.9,4.8,4.7,4.9,4.9,10.0,1.0
97,2.0,1.0,1.0,56.0,4.6,4.9,4.9,4.4,4.9,4.7,18.0,1.0
98,4.0,3.0,1.5,199.0,5.0,5.0,5.0,4.9,5.0,4.8,35.0,1.0
99,2.0,1.0,1.0,38.0,4.8,4.9,4.9,4.8,4.9,4.8,19.0,1.0
100,4.0,1.0,1.0,211.0,4.9,5.0,5.0,4.9,5.0,4.8,39.0,1.0
101,2.0,1.0,1.0,112.0,4.9,5.0,5.0,4.9,5.0,4.9,33.0,1.0
102,4.0,2.0,1.0,141.0,4.9,5.0,5.0,4.9,5.0,4.8,30.0,1.0
